variable,grp,avg_time,avg_amp,avg_duration,n_durations,solution
E,-1201,-1.2006892e6,1.1448479827773757,405.19999999995343,2,ZB23.R01
E,-1202,-1.2014997e6,1.513014727790436,405.4000000000233,2,ZB23.R01
E,-1203,-1.202515e6,1.6442880961482478,406.80000000004657,3,ZB23.R01
E,-1204,-1.2035338e6,1.5650420049380296,408.39999999990687,2,ZB23.R01
E,-1205,-1.204555e6,1.4982505556348105,408.1333333333799,3,ZB23.R01
E,-1206,-1.2055735e6,1.5035462246888895,406.5999999999767,2,ZB23.R01
E,-1207,-1.206589e6,1.495949815160924,406.0,3,ZB23.R01
E,-1208,-1.2076049e6,1.4698189479456287,407.0,2,ZB23.R01
E,-1209,-1.2084189e6,1.4724670873642651,407.0,2,ZB23.R01
E,-1210,-1.2094362e6,1.5200577634562642,406.5333333333644,3,ZB23.R01
E,-1211,-1.2104515e6,1.556363118258597,405.79999999993015,2,ZB23.R01
E,-1212,-1.2114672e6,1.5260531391246044,406.93333333334886,3,ZB23.R01
E,-1213,-1.2124857000000002e6,1.4907796264280728,407.80000000004657,2,ZB23.R01
E,-1214,-1.2135040000000002e6,1.5195359335450345,406.6666666666667,3,ZB23.R01
E,-1215,-1.2145190999999999e6,1.545184356521094,405.39999999990687,2,ZB23.R01
E,-1216,-1.2155335333333332e6,1.5131646487607824,406.26666666668217,3,ZB23.R01
E,-1217,-1.2165504e6,1.4823628298277425,407.20000000006985,2,ZB23.R01
E,-1218,-1.2175680666666667e6,1.4972933595144589,406.799999999969,3,ZB23.R01
E,-1219,-1.2185844e6,1.5163379650068498,406.4000000000233,2,ZB23.R01
E,-1220,-1.2193973e6,1.5154775137714431,406.5999999999767,2,ZB23.R01
E,-1221,-1.2204146e6,1.5105477528964144,407.06666666665114,3,ZB23.R01
E,-1222,-1.2214319e6,1.5257822437035553,406.5999999999767,2,ZB23.R01
E,-1223,-1.2224474666666666e6,1.5458951569398691,406.1333333333799,3,ZB23.R01
E,-1224,-1.2234634e6,1.5389443527029039,406.79999999993015,2,ZB23.R01
E,-1225,-1.224482e6,1.5340055614980515,407.7333333333954,3,ZB23.R01
E,-1226,-1.2255006e6,1.569260489518257,406.79999999993015,2,ZB23.R01
E,-1227,-1.2265162e6,1.5816264334190588,406.0,3,ZB23.R01
E,-1228,-1.2275318e6,1.5385152885769986,406.80000000004657,2,ZB23.R01
E,-1229,-1.2285497333333334e6,1.515628407700922,407.19999999995343,3,ZB23.R01
E,-1230,-1.229567e6,1.5461330030132872,406.4000000000233,2,ZB23.R01
E,-1231,-1.2305825333333332e6,1.5556885486546168,406.39999999998446,3,ZB23.R01
E,-1232,-1.2315997e6,1.5188270445317524,407.4000000000233,2,ZB23.R01
E,-1233,-1.2324148e6,1.4926464830215918,407.5999999999767,2,ZB23.R01
E,-1234,-1.2334329333333333e6,1.487994220858137,406.93333333334886,3,ZB23.R01
E,-1235,-1.2344497e6,1.497534224447368,406.5999999999767,2,ZB23.R01
E,-1236,-1.2354667333333334e6,1.512609772679684,407.06666666672874,3,ZB23.R01
E,-1237,-1.2364848e6,1.5281077436132784,407.19999999995343,2,ZB23.R01
